htm_link,download_link
https://ec.europa.eu/eurostat/cache/metadata/en/cens_01nact_esms.htm,Manually download from https://ec.europa.eu/eurostat/cache/metadata/en/cens_01nact_esms.htm
https://ec.europa.eu/eurostat/cache/metadata/en/cens_01ndws_esms.htm,Manually download from https://ec.europa.eu/eurostat/cache/metadata/en/cens_01ndws_esms.htm
https://ec.europa.eu/eurostat/cache/metadata/en/cens_01nedu_esms.htm,Manually download from https://ec.europa.eu/eurostat/cache/metadata/en/cens_01nedu_esms.htm
https://ec.europa.eu/eurostat/cache/metadata/en/cens_01nhou_esms.htm,Manually download from https://ec.europa.eu/eurostat/cache/metadata/en/cens_01nhou_esms.htm
