htm_link,download_link
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esqrsea_lu.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esqrsea_lu.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esqrsea_mt.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esqrsea_mt.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esqrsea_nl.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esqrsea_nl.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esqrsea_no.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esqrsea_no.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esqrsea_pl.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esqrsea_pl.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esqrsea_pt.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esqrsea_pt.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esqrsea_ro.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esqrsea_ro.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esqrsea_se.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esqrsea_se.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esqrsea_si.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esqrsea_si.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esqrsea_sk.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esqrsea_sk.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_ms_esms.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_ms_esms.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esms.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_pt.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrs.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrs.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_at.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_at.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_be.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_be.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_bg.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_bg.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_cy.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_cy.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_cz.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_cz.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aei_fm_salpest09_esqrsps_de.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aei_fm_salpest09_esqrsps_de.sdmx.zip
